case_number,domain,topic,as_of,close_time,probability,base_rate,outcome
1,macro,rates,2022-01-03T00:00:00Z,2022-01-24T00:00:00Z,0.31,0.25,no
2,policy,legislation,2022-01-10T00:00:00Z,2022-02-13T00:00:00Z,0.68,0.54,yes
3,credit,default,2022-01-17T00:00:00Z,2022-03-05T00:00:00Z,0.29,0.21,no
4,biotech,regulatory,2022-01-24T00:00:00Z,2022-03-25T00:00:00Z,0.66,0.50,no
5,technology,adoption,2022-01-31T00:00:00Z,2022-04-14T00:00:00Z,0.27,0.79,yes
6,geopolitics,elections,2022-02-07T00:00:00Z,2022-05-04T00:00:00Z,0.64,0.46,yes
7,climate,energy,2022-02-14T00:00:00Z,2022-05-24T00:00:00Z,0.25,0.75,yes
8,public_health,outbreaks,2022-02-21T00:00:00Z,2022-06-13T00:00:00Z,0.62,0.42,yes
9,macro,rates,2022-02-28T00:00:00Z,2022-07-03T00:00:00Z,0.23,0.71,no
10,policy,legislation,2022-03-07T00:00:00Z,2022-07-23T00:00:00Z,0.60,0.38,no
11,credit,default,2022-03-14T00:00:00Z,2022-04-14T00:00:00Z,0.21,0.67,no
12,biotech,regulatory,2022-03-21T00:00:00Z,2022-05-04T00:00:00Z,0.58,0.34,yes
13,technology,adoption,2022-03-28T00:00:00Z,2022-05-24T00:00:00Z,0.19,0.63,no
14,geopolitics,elections,2022-04-04T00:00:00Z,2022-06-13T00:00:00Z,0.56,0.30,no
15,climate,energy,2022-04-11T00:00:00Z,2022-07-03T00:00:00Z,0.17,0.59,yes
16,public_health,outbreaks,2022-04-18T00:00:00Z,2022-07-23T00:00:00Z,0.54,0.26,yes
17,macro,rates,2022-04-25T00:00:00Z,2022-08-12T00:00:00Z,0.15,0.55,yes
18,policy,legislation,2022-05-02T00:00:00Z,2022-09-01T00:00:00Z,0.52,0.22,yes
19,credit,default,2022-05-09T00:00:00Z,2022-09-21T00:00:00Z,0.13,0.51,no
20,biotech,regulatory,2022-05-16T00:00:00Z,2022-06-13T00:00:00Z,0.50,0.18,no
21,technology,adoption,2022-05-23T00:00:00Z,2022-07-03T00:00:00Z,0.87,0.47,no
22,geopolitics,elections,2022-05-30T00:00:00Z,2022-07-23T00:00:00Z,0.48,0.76,yes
23,climate,energy,2022-06-06T00:00:00Z,2022-08-12T00:00:00Z,0.85,0.43,no
24,public_health,outbreaks,2022-06-13T00:00:00Z,2022-09-01T00:00:00Z,0.46,0.72,no
25,macro,rates,2022-06-20T00:00:00Z,2022-09-21T00:00:00Z,0.83,0.39,yes
26,policy,legislation,2022-06-27T00:00:00Z,2022-10-11T00:00:00Z,0.44,0.68,yes
27,credit,default,2022-07-04T00:00:00Z,2022-10-31T00:00:00Z,0.81,0.35,yes
