case_number,external_id,title,url,as_of,close_time,resolution_time,probability,outcome,description
1,kalshi:KXMVESPORTSMULTIGAMEEXTENDED-S2026ECDF8B04EB0-1E431D258F8,"yes Target Price: $2,093.88,yes Target Price: $1.3397",https://kalshi.com/markets/KXMVESPORTSMULTIGAMEEXTENDED-S2026ECDF8B04EB0-1E431D258F8,2026-05-26T09:30:00Z,2026-05-26T09:30:00Z,2026-05-26T09:33:11.537966Z,0.0,yes,
2,kalshi:KXMVESPORTSMULTIGAMEEXTENDED-S2026228EB93202F-99AFE5CC5F8,"yes Target Price: $76,607.28,yes Target Price: $2,093.88,yes Target Price: $84.3355,yes Target Price: $1.3397",https://kalshi.com/markets/KXMVESPORTSMULTIGAMEEXTENDED-S2026228EB93202F-99AFE5CC5F8,2026-05-26T09:30:00Z,2026-05-26T09:30:00Z,2026-05-26T09:33:06.795254Z,0.0,yes,
3,kalshi:KXMVECROSSCATEGORY-S2026D0B1161C797-E1911E96827,"yes Target Price: $76,607.28,yes Target Price: $0.1012055,yes Target Price: $2,093.88,yes Target Price: $84.3355,yes Target Price: $1.3397",https://kalshi.com/markets/KXMVECROSSCATEGORY-S2026D0B1161C797-E1911E96827,2026-05-26T09:30:00Z,2026-05-26T09:30:00Z,2026-05-26T09:33:11.178315Z,0.0,yes,
4,kalshi:KXMVECROSSCATEGORY-S2026D0B1161C797-4910C34428A,"yes Target Price: $76,607.28,yes Target Price: $0.1012055,yes Target Price: $2,093.88,no Target Price: $84.3355,yes Target Price: $1.3397",https://kalshi.com/markets/KXMVECROSSCATEGORY-S2026D0B1161C797-4910C34428A,2026-05-26T09:30:00Z,2026-05-26T09:30:00Z,2026-05-26T09:33:11.172588Z,0.0,no,
5,kalshi:KXMVECROSSCATEGORY-S2026D0B1161C797-807F60C21AD,"yes Target Price: $76,607.28,no Target Price: $0.1012055,yes Target Price: $2,093.88,no Target Price: $84.3355,yes Target Price: $1.3397",https://kalshi.com/markets/KXMVECROSSCATEGORY-S2026D0B1161C797-807F60C21AD,2026-05-26T09:30:00Z,2026-05-26T09:30:00Z,2026-05-26T09:33:11.166799Z,0.0,no,
6,kalshi:KXMVECROSSCATEGORY-S2026D0B1161C797-86C0F1C25C5,"yes Target Price: $76,607.28,no Target Price: $0.1012055,yes Target Price: $2,093.88,no Target Price: $84.3355,no Target Price: $1.3397",https://kalshi.com/markets/KXMVECROSSCATEGORY-S2026D0B1161C797-86C0F1C25C5,2026-05-26T09:30:00Z,2026-05-26T09:30:00Z,2026-05-26T09:33:11.161022Z,0.0,no,
7,kalshi:KXMVECROSSCATEGORY-S2026D0B1161C797-9F958C3FA95,"yes Target Price: $76,607.28,no Target Price: $0.1012055,no Target Price: $2,093.88,no Target Price: $84.3355,no Target Price: $1.3397",https://kalshi.com/markets/KXMVECROSSCATEGORY-S2026D0B1161C797-9F958C3FA95,2026-05-26T09:30:00Z,2026-05-26T09:30:00Z,2026-05-26T09:33:11.155033Z,0.0,no,
8,kalshi:KXMVESPORTSMULTIGAMEEXTENDED-S20264F3F85629B1-04113237E7C,"yes Target Price: $76,607.28,yes Target Price: $2,093.88",https://kalshi.com/markets/KXMVESPORTSMULTIGAMEEXTENDED-S20264F3F85629B1-04113237E7C,2026-05-26T09:30:00Z,2026-05-26T09:30:00Z,2026-05-26T09:33:11.538036Z,0.0,yes,
9,kalshi:KXMVECROSSCATEGORY-S2026D0B1161C797-4F422EEEFB7,"no Target Price: $76,607.28,no Target Price: $0.1012055,no Target Price: $2,093.88,no Target Price: $84.3355,no Target Price: $1.3397",https://kalshi.com/markets/KXMVECROSSCATEGORY-S2026D0B1161C797-4F422EEEFB7,2026-05-26T09:30:00Z,2026-05-26T09:30:00Z,2026-05-26T09:33:21.53956Z,0.0,no,
10,kalshi:KXMVESPORTSMULTIGAMEEXTENDED-S2026228EB93202F-15AFC862EA2,"no Target Price: $76,607.28,no Target Price: $2,093.88,no Target Price: $84.3355,no Target Price: $1.3397",https://kalshi.com/markets/KXMVESPORTSMULTIGAMEEXTENDED-S2026228EB93202F-15AFC862EA2,2026-05-26T09:30:00Z,2026-05-26T09:30:00Z,2026-05-26T09:33:11.537918Z,0.0,no,
