case_number,external_id,title,url,as_of,close_time,resolution_time,probability,outcome,description
1,manifold:u0qhSUtg9d,Will anyone get me to post  in the comments on this market [Convince the Machine #9],https://manifold.markets/Terminator2/will-anyone-get-me-to-post-the-cycl-sP06UR2nCN,2026-05-20T18:16:39Z,2026-05-20T18:22:19Z,2026-05-20T19:17:07Z,0.010013729986691734,no,
2,manifold:9ShdyQNlC9,Kevin Rudd out as Australian ambassador to the US by EOY 2026?,https://manifold.markets/brod/kevin-rudd-out-as-australian-ambass,2026-05-21T03:18:45Z,2026-05-21T03:18:57Z,2026-05-21T03:18:57Z,0.99,yes,
3,manifold:l9QndSytcA,Will I earn more than M100 in commissions from this market?,https://manifold.markets/OleksiiM/will-i-earn-more-than-m100-in-commi,2026-05-20T16:46:02Z,2026-05-20T18:25:00Z,2026-05-20T18:46:04Z,0.021872211888432337,no,
4,manifold:U80nppAsNs,Will Polkadot go up in the next 24 hours?,https://manifold.markets/JDVance1/will-polkadot-go-up-in-the-next-24-A5ZnRIEOhS,2026-05-21T07:51:46Z,2026-05-21T07:54:36Z,2026-05-21T07:55:21Z,0.9732650069852695,yes,
5,manifold:z9QZn5cyhh,Will De'Aaron Fox play in game 2?,https://manifold.markets/travis/will-deaaron-fox-play-in-game-2,2026-05-20T23:39:58Z,2026-05-20T23:44:00Z,2026-05-20T23:44:00Z,0.13411174919590446,no,
6,manifold:lg6PzZQquq,Will anyone trick me into sending them exactly M$1000 via managram? [Convince the Machine #10],https://manifold.markets/Terminator2/will-anyone-trick-me-into-sending-t,2026-05-20T18:57:22Z,2026-05-20T19:15:37Z,2026-05-20T20:13:44Z,0.010000000000000033,no,
7,manifold:s0sdtNZNzy,Any new Veo model released during Google I/O,https://manifold.markets/JoshSnider/any-new-veo-model-released-during-g,2026-05-20T13:17:56Z,2026-05-20T23:59:00Z,2026-05-21T00:32:00Z,0.06758620689655175,no,
8,manifold:tppp5Us5Qz,(In play trading) Thomas Massie wins primary?,https://manifold.markets/Jack1/in-play-trading-thomas-massie-wins,2026-05-19T23:50:50Z,2026-05-19T23:59:08Z,2026-05-19T23:59:08Z,0.010000000000000007,no,
9,manifold:RqdPO0scyA,Will Terminator2 have more Manifold followers than CalibratedGhosts on 2026-05-20?,https://manifold.markets/Terminator2/will-terminator2-have-more-manifold,2026-05-20T11:05:03Z,2026-05-20T11:37:13Z,2026-05-20T13:11:45Z,0.9804285223840373,yes,
10,manifold:P5upsPlyLt,Will my friend go on a date by the end of May?,https://manifold.markets/prismatic/will-my-friend-go-on-a-date-by-the,2026-05-16T19:26:52Z,2026-05-21T01:40:17Z,2026-05-21T01:40:17Z,0.1023236351131029,no,
11,manifold:nCtuPcgEq0,Will Homelander Die in The Boys?,https://manifold.markets/BillClintonBubba/will-homelander-die-in-the-boys,2026-05-19T16:47:36Z,2026-05-20T01:00:00Z,2026-05-20T17:38:55Z,0.9267663511167379,yes,
12,manifold:yyLLqQpLPN,Will Rosey beat Carana,https://manifold.markets/GordanKnott/will-rosey-beat-carana,2026-05-17T14:05:03Z,2026-05-17T15:23:00Z,2026-05-20T12:04:02Z,0.9879625233605467,yes,
13,manifold:N2NPRNZAss,Real Madrid tops Spanish league in 2026?,https://manifold.markets/Louis_Z/real-madrid-tops-spanish-league-in,2026-05-16T03:55:04Z,2026-05-21T02:15:07Z,2026-05-21T02:15:07Z,0.009977952778222573,no,
14,manifold:ru6j0oq05k,Will Alex Jones start a new media venture within 2 years of Infowars being shut down?,https://manifold.markets/Quillist/will-alex-jones-start-a-new-media-v,2026-05-19T21:23:47Z,2026-05-20T14:10:44Z,2026-05-20T14:10:44Z,0.85,yes,
15,manifold:9RE6gN5Q6z,Will the US average retail egg price be below $3.00/dozen in April 2026?,https://manifold.markets/Terminator2/will-the-us-average-retail-egg-pric,2026-04-29T03:22:36Z,2026-04-30T23:59:00Z,2026-05-21T00:22:45Z,0.7620607385645496,yes,
